Feature
L_UL_RSRP_PUSCH_INDEX9_RATIO
L_UL_RSRP_PUSCH_INDEX10_RATIO
L_UL_RSRP_PUSCH_INDEX11_RATIO
L_UL_RSRP_PUSCH_INDEX12_RATIO
L_UL_RSRP_PUSCH_INDEX13_RATIO
L_UL_RSRP_PUSCH_INDEX14_RATIO
L_UL_RSRP_PUSCH_INDEX15_RATIO
L_UL_RSRP_PUSCH_INDEX16_RATIO
L_UL_RSRP_PUSCH_INDEX17_RATIO
L_UL_RSRP_PUSCH_INDEX18_RATIO
L_UL_RSRP_PUSCH_INDEX19_RATIO
L_UL_RSRP_PUSCH_INDEX20_RATIO
L_UL_RSRP_PUSCH_INDEX21_RATIO
L_UL_RSRP_PUSCH_INDEX22_RATIO
L_UL_RSRP_PUSCH_INDEX23_RATIO
L_UL_PUCCH_AVG_COVERAGE
L_UL_PUSCH_EDGE_COVERAGE_RATIO
L_UL_PUCCH_EDGE_COVERAGE_RATIO
L_DL_EDGE_COVERAGE_ULPL_RATIO
L_UL_INTERFERENCE_AVG
L_UL_INTERFERENCE_PUSCH_AVG
L_UL_INTERFERENCE_PUCCH_AVG
L_UL_EDGE_INTERFERENCE_PUSCH_RATIO
L_UL_EDGE_INTERFERENCE_PUCCH_RATIO
L_AVGCQI
L_EDGE_CQI_RATIO
L_CENTER_CQI_RATIO
L_CHMEAS_CQI_DL_0_RATIO
L_CHMEAS_CQI_DL_1_RATIO
L_CHMEAS_CQI_DL_2_RATIO
L_CHMEAS_CQI_DL_3_RATIO
L_CHMEAS_CQI_DL_4_RATIO
L_CHMEAS_CQI_DL_5_RATIO
L_CHMEAS_CQI_DL_6_RATIO
L_CHMEAS_CQI_DL_7_RATIO
L_CHMEAS_CQI_DL_8_RATIO
L_CHMEAS_CQI_DL_9_RATIO
L_CHMEAS_CQI_DL_10_RATIO
L_CHMEAS_CQI_DL_11_RATIO
L_CHMEAS_CQI_DL_12_RATIO
L_CHMEAS_CQI_DL_13_RATIO
L_CHMEAS_CQI_DL_14_RATIO
L_CHMEAS_CQI_DL_15_RATIO
L_RANK_GAIN
L_MIMO_RANK2_PRB_RATIO
L_AVGTA
L_EDGE_TA_RATIO
L_CENTER_TA_RATIO
L_TRAFFIC_DL_IBLER
L_TRAFFIC_DL_RBLER
L_TRAFFIC_UL_IBLER
L_TRAFFIC_UL_RBLER
L_TRAFFIC_DL_PKTUULOSS_LOSS_RATIO
L_TRAFFIC_UL_PKTUULOSS_LOSS_RATIO
L_RRC_CONNREQ_ATT
L_RRC_CONNREQ_SUCC_RATE
L_E_RAB_ATTEST
L_RAB_SUCC_RATE
L_E_RAB_REL
L_CALL_DROP_CELL_RATE
L_RRC_REEST_ATT
L_RRC_REEST_SR
L_RRC_REEST_RRC_RATIO
L_HHO_INTRAFREQ_PREPATTOUT
L_HHO_INTRAFREQ_SR
L_HHO_INTRAFREQ_INTRAENB_RATIO
L_HHO_INTERFREQ_PREPATTOUT
L_HHO_INTERFREQ_SR
L_HHO_INTERFREQ_INTRAENB_RATIO
L_HHO_INTRAFREQ_PERUSER
L_GAP_MEASCTRL_COUNT
L_GAP_MEASCTRL_PERUSER
L_GAP_MEASCTRL_PERINTERHO
L_MODEL_PS_CALL_PERUSER
L_MODEL_VOLTE_PERUSER
L_MODEL_CSFB_PERUSER
L_MODEL_RRC_REEST_PERUSER
L_MODEL_AVG_PS_CALL_DURATION
L_MODEL_AVG_INTRANB_HO_INTERVAL_TIME
L_MODEL_AVG_INTERNB_HO_INTERVAL_TIME
L_MODEL_DL_SPECTRUM_EFFICIENCY
L_MODEL_UL_SPECTRUM_EFFICIENCY
L_MODEL_PEAK_AVG_USER_RATIO
L_MODEL_SCHEDULED_USER_TO_TOTAL_USER_RATIO
L_MODEL_UL_SCHEDULED_USER_TO_TOTAL_USER_RATIO
L_MODEL_DL_SCHEDULED_USER_TO_TOTAL_USER_RATIO
L_MODEL_DATA_TRANS_TIME_TO_ONLINE_TIME_RATIO
L_MODEL_DL_TRAFFIC_PERUSER
L_MODEL_UL_TRAFFIC_PERUSER
L_MODEL_DATA_TRANS_TIME_PERUSER
L_MODEL_DL_TRAFFIC_PERRAB
L_MODEL_UL_TRAFFIC_PERRAB
L_MODEL_ONLINE_TIME_PERRAB
L_MODEL_DATA_TRANS_TIME_PERRAB
CELL_DLEARFCN
CELL_ULBANDWIDTH
CELL_DLBANDWIDTH
CELL_HIGHSPEEDFLAG
CELL_CELLRADIUS
CELL_MULTIRRUCELLFLAG
CELL_TXRXMODE
